what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.core",1348150318734
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.1.v20120425-0100,"org.eclipse.mylyn.commons.notifications.feed",1348150318740
started,bundle,org.eclipse.mylyn.commons.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.ui",1348150318752
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.1.v20120425-0100,"org.eclipse.mylyn.commons.workbench",1348150318761
started,bundle,org.eclipse.mylyn.context.core,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.core",1348150318778
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.context.tasks.ui",1348150318784
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1348150318807
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1348150318861
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1348150318965
os,sysinfo,,,"win32",1348150318969
arch,sysinfo,,,"x86",1348150318969
ws,sysinfo,,,"win32",1348150318969
locale,sysinfo,,,"en_US",1348150318969
processors,sysinfo,,,"4",1348150318969
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348150318969
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1348150318969
java.specification.name,sysinfo,,,"Java Platform API Specification",1348150318969
java.specification.vendor,sysinfo,,,"Oracle Corporation",1348150318969
java.specification.version,sysinfo,,,"1.7",1348150318969
java.vendor,sysinfo,,,"Oracle Corporation",1348150318969
java.version,sysinfo,,,"1.7.0_07",1348150318969
java.vm.info,sysinfo,,,"mixed mode, sharing",1348150318969
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1348150318969
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348150318969
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1348150318969
java.vm.specification.version,sysinfo,,,"1.7",1348150318969
java.vm.vendor,sysinfo,,,"Oracle Corporation",1348150318969
java.vm.version,sysinfo,,,"23.3-b01",1348150318969
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1348150320052
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1348150320902
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1348150320945
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1348150321116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348150322101
error,log,,,"Unable to update index for public-mirror|http://nexus.howden.press.net/nexus/content/groups/public",1348150325333
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348150326196
