what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1348748804904
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1348748804986
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1348748805073
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1348748805134
error,log,,,"Unable to update index for public-mirror|http://nexus.howden.press.net/nexus/content/groups/public",1348748808041
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348748861539
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348748863663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348748864682
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348748887227
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1348748889740
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1348748889778
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1348748889919
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1348748890014
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348748893150
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348748899426
failed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1348748899442
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1348748933494
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1348748933528
started,bundle,org.maven.ide.eclipse.launching,0.12.1.20110112-1712,"org.maven.ide.eclipse.launching",1348748933650
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348748934657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348748935729
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348748936481
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348749074306
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348749077349
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348749077490
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348749085395
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348749088735
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348749088891
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348749088917
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1348749090213
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348749090214
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1348749090224
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348749102851
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348749110583
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348749111009
