what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.monitor.ui",1348468985919
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.tasks.ui",1348468985930
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1348468985972
os,sysinfo,,,"win32",1348468985976
arch,sysinfo,,,"x86",1348468985976
ws,sysinfo,,,"win32",1348468985976
locale,sysinfo,,,"en_US",1348468985976
processors,sysinfo,,,"4",1348468985976
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1348468985976
java.runtime.version,sysinfo,,,"1.7.0_07-b10",1348468985976
java.specification.name,sysinfo,,,"Java Platform API Specification",1348468985976
java.specification.vendor,sysinfo,,,"Oracle Corporation",1348468985976
java.specification.version,sysinfo,,,"1.7",1348468985976
java.vendor,sysinfo,,,"Oracle Corporation",1348468985976
java.version,sysinfo,,,"1.7.0_07",1348468985976
java.vm.info,sysinfo,,,"mixed mode, sharing",1348468985976
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1348468985976
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1348468985976
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1348468985976
java.vm.specification.version,sysinfo,,,"1.7",1348468985976
java.vm.vendor,sysinfo,,,"Oracle Corporation",1348468985976
java.vm.version,sysinfo,,,"23.3-b01",1348468985976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1348468985982
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1348468986436
started,bundle,org.maven.ide.eclipse,0.12.1.20110112-1712,"org.maven.ide.eclipse",1348468986569
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1348472084857
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1348472084858
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1348472085021
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1348472085054
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1348472085300
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1348472085301
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1348472085342
